id,name,category,qty_vehicle,qty_order,sourcing,material,spec,supplier,supplier_part_number,supplier_url,unit_cost_usd,order_cost_usd,order_details,notes
1111,Upper Plate,Airframe Structure,1,1,laser-cut,Aluminum,1 mm sheet,RapidDirect,,https://www.rapiddirect.com/,26.00,26.00,,
1112,Middle Plate,Airframe Structure,1,1,laser-cut,Aluminum,1 mm sheet,RapidDirect,,https://www.rapiddirect.com/,26.00,26.00,,
1113,Lower Plate,Airframe Structure,1,1,laser-cut,Aluminum,1 mm sheet,RapidDirect,,https://www.rapiddirect.com/,47.00,47.00,,
1211,"Cockpit Support Beam, CW Long",Airframe Structure,1,1,laser-cut,Aluminum,40x40x2 mm box section,RapidDirect,,https://www.rapiddirect.com/,43.00,43.00,,
1212,"Cockpit Support Beam, CCW Back",Airframe Structure,2,2,laser-cut,Aluminum,40x40x2 mm box section,RapidDirect,,https://www.rapiddirect.com/,27.00,54.00,,
1221,Battery Wall,Airframe Structure,2,2,laser-cut,Aluminum,,RapidDirect,,https://www.rapiddirect.com/,49.00,98.00,,
1310,Landing Gear Vertical Tube,Airframe Structure,4,2,cut-to-length,Carbon fiber 3K,30x28 mm tube; see landing_gear assembly for cut length,RJXHobby,,https://www.rjxhobby.com/carbon-fiber/carbon-fiber-tube/rjx-1pcs-colored-3k-carbon-fiber-tube-1000mm-od-21-30mm,45.00,90.00,"30x28x1000 mm stock, any color; each tube yields two legs",
1320,Landing Gear Horizontal Tube,Airframe Structure,2,1,cut-to-length,Carbon fiber 3K,30x28 mm tube; see landing_gear assembly for cut length,RJXHobby,,https://www.rjxhobby.com/carbon-fiber/carbon-fiber-tube/rjx-1pcs-colored-3k-carbon-fiber-tube-1000mm-od-21-30mm,45.00,45.00,"30x28x1000 mm stock, any color; one tube yields both skids",
1330,Landing Gear Main Adapter,Airframe Structure,4,4,cots,,30 mm tube quick-release tilt seat,RJXHobby,,https://www.rjxhobby.com/rjx-1pcs-20mm-quick-release-tripod-aluminum-tilt-fixed-seat-landing-gear-connector-1,30.00,120.00,,
1340,Landing Gear Tube Joint,Airframe Structure,4,4,cots,,30 mm,INNLOI,,https://www.innloi.com/productinfo/448455.html,13.99,55.96,,
1350,Landing Gear Foam Wrap,Airframe Structure,4,1,cots,EPP foam,,Amazon,,https://a.co/d/ggzWXc4,14.00,14.00,one pack wraps all four lower tubes,
1411,Foldable Motor Arm Connector,Airframe Structure,4,4,cots,,30 mm tube option,Alibaba,,https://www.alibaba.com/product-detail/30-40mm-Folding-arm-tube-Drone_1600762096177.html,25.00,100.00,,
1412,Motor Arm Tube,Airframe Structure,4,2,cut-to-length,Carbon fiber 3K,"30x28 mm tube, cut to 360 mm",RJXHobby,,https://www.rjxhobby.com/carbon-fiber/carbon-fiber-tube/rjx-1pcs-colored-3k-carbon-fiber-tube-1000mm-od-21-30mm,45.00,90.00,"30x28x1000 mm stock, any color; each tube yields two arms",
2111,"Attachment Interface Spacer, Left/Right",Supporting Structure,2,2,3d-print,PETG-CF,,,,,,,,
2112,Quick-Release Interface Plate,Supporting Structure,3,3,cots,Aluminum,,Alibaba,,https://www.alibaba.com/product-detail/Quick-Release-Clip-Plate-Clamp-Quick_1600982145247.html,34.00,102.00,,
2131,"Attachment Interface Spacer, Bottom",Supporting Structure,1,1,3d-print,PETG-CF,,,,,,,,Has a wiring notch the left/right spacer does not.
2211,Battery Slider,Supporting Structure,2,2,3d-print,PETG-CF,,,,,,,,
2311,Main PCB Mount,Supporting Structure,1,1,3d-print,PETG-CF,,,,,,,,
2312,BC PCB Mount,Supporting Structure,1,1,3d-print,PETG-CF,,,,,,,,
2313,BC PCB Cover,Supporting Structure,1,1,3d-print,PETG-CF,,,,,,,,
2321,Altitude Sensor Mount,Supporting Structure,1,1,3d-print,PETG-CF,,,,,,,,
2331,GNSS Mount Base,Supporting Structure,1,1,3d-print,PETG-CF,,,,,,,,
2332,GNSS Mount Clamp,Supporting Structure,1,1,3d-print,PETG-CF,,,,,,,,
2341,PPP Adapter and Beacon Mount,Supporting Structure,1,1,3d-print,PETG-CF,,,,,,,,
2411,Main Enclosure,Supporting Structure,1,1,3d-print,PETG-CF,,,,,,,,
2412,Enclosure Top Cap,Supporting Structure,1,1,3d-print,PETG-CF,,,,,,,,
2420,Enclosure Hinge,Supporting Structure,2,2,cots,Zinc die-cast,,JW Winco,GN 237-ZD-30-30-A-SW,https://www.jwwinco.com/en-us/products/3.3-Hinging-latching-locking-of-doors-and-covers/Hinges/GN-237-Zinc-Die-Cast-or-Aluminum-Hinges-Countersunk-Thru-Holes-or-Threaded-Stud-Type,10.00,20.00,,
2430,Enclosure Latch,Supporting Structure,2,2,cots,Steel,,McMaster-Carr,6082A11,https://www.mcmaster.com/6082A11/,10.42,20.84,,
3111,"Motor + ESC, Hobbywing XRotor X6 Plus",Equipment,4,4,cots,,,Hobbywing,XRotor X6 Plus G2,https://www.hobbywing.com/en/products/x6-plus-g2,120.00,480.00,,Propellers are ordered separately (3112/3122).
3112,"Propeller, Hobbywing MFP 24x8.0, CW",Equipment,2,2,cots,,,Hobbywing,MFP 24x8.0 CW,https://www.hobbywing.com/en/products/mfp-24x80,20.00,40.00,,
3122,"Propeller, Hobbywing MFP 24x8.0, CCW",Equipment,2,2,cots,,,Hobbywing,MFP 24x8.0 CCW,https://www.hobbywing.com/en/products/mfp-24x80,20.00,40.00,,
3201,"PPP Adapter, CubePilot CubeNode ETH",Equipment,1,1,cots,,,IR-LOCK (CubePilot),,https://irlock.com/products/cube-node-eth?variant=42727353122867,121.98,121.98,,
3202,"Remote ID Module, DroneBeacon db201",Equipment,1,1,cots,,,DroneScout (DroneBeacon),db201,https://dronescout.co/product/dronebeacon-mavlink-db201-transponder/,54.00,54.00,,
3210,"Obstacle Avoidance LiDAR, RPLidar S2L",Equipment,1,1,cots,,,DFRobot,,https://www.dfrobot.com/product-2617.html,380.00,380.00,,
3220,"Radar Altimeter, Nanoradar NRA15",Equipment,1,1,cots,,,Nanoradar,NRA15,https://www.nanoradar.com/Products_1/4.html,240.00,240.00,,
3230,"Telemetry Antenna, Front",Equipment,1,0,cots,,,,,,,,included with 3280,Supplied with the SIYI HM30 Standard Combo (3280).
3240,"Telemetry Antenna, Rear",Equipment,1,0,cots,,,,,,,,included with 3280,Supplied with the SIYI HM30 Standard Combo (3280).
3250,"GNSS Module, Primary",Equipment,1,1,cots,,,IR-LOCK (CubePilot),Here4,https://irlock.com/products/here4-multiband-rtk-gnss,288.00,288.00,,Either listed module is acceptable. The CAD model still shows the retired Wren Mini; update the STEP on the next CAD export.
3251,"GNSS Module, Backup, Mateksys M9N-G4-3100",Equipment,1,1,cots,,,Mateksys,M9N-G4-3100,https://www.mateksys.com/?portfolio=m9n-g4-3100,125.00,125.00,,DroneCAN. Not in the CAD model.
3260,"Power Switch, E-Switch PVHC4F23SS344",Equipment,1,1,cots,,,Digi-Key,PVHC4F23SS344,https://www.digikey.com/en/products/detail/e-switch/PVHC4F23SS344/24614861,16.00,16.00,,
3270,"Gimbal Camera, SIYI A8 mini",Equipment,1,1,cots,,,SIYI,,https://shop.siyi.biz/products/siyi-a8-mini-gimbal-camera,251.63,251.63,,
3280,"Telemetry / FPV System, SIYI HM30",Equipment,1,1,cots,,,SIYI,HM30 Standard Combo,https://shop.siyi.biz/products/siyi-hm30-digital-image-transmission?VariantsId=10748,282.04,282.04,,
3290,"Obstacle Avoidance Radar, Nanoradar MR82",Equipment,1,1,cots,,,Nanoradar,MR82,https://www.nanoradar.com/Products_1/7.html,285.00,285.00,,
3310,"Main PCB, assembled",Equipment,1,1,pcb-assembly,,,,,,400.00,400.00,,Order via JLCPCB or similar using the KiCad production files; see the Main PCB Assembly Guide.
3312,"Companion Computer, Raspberry Pi 5",Equipment,1,1,cots,,8 GB RAM,Raspberry Pi,,https://www.raspberrypi.com/products/raspberry-pi-5/,200.00,200.00,,Mounts on the Main PCB; not a separate CAD part.
3313,"Ethernet Switch, BotBlox GigaBlox Nano",Equipment,2,2,cots,,,BotBlox,,https://botblox.io/products/micro-gigabit-ethernet-switch,95.67,191.34,,Mounts on the Main PCB; not a separate CAD part.
3320,"Battery Connector PCB, assembled",Equipment,1,1,pcb-assembly,,,,,,83.00,83.00,,Order via JLCPCB or similar using the KiCad production files; see the BC PCB Assembly Guide.
3324,"BC PCB Heatsink, 5 mm",Equipment,1,1,laser-cut,Aluminum,"5 mm plate, 116 x 16 mm; the 5 mm variant supersedes the earlier 4 mm one",RapidDirect,,https://www.rapiddirect.com/,16.00,16.00,,Thermally couples the BC PCB to the chassis; install with thermal paste (CONS-007). Not in the CAD assembly model.
3330,"Flight Controller PCB, assembled",Equipment,1,1,pcb-assembly,,,,,,25.00,25.00,,Adapter board; stacks on the Main PCB. Not a separate CAD part.
3331,"Attachment Interface PCB, assembled",Equipment,3,6,pcb-assembly,,,,,,10.00,60.00,order extras; JLCPCB minimum batch,"One per attachment interface (right, left, bottom)."
3332,"Flight Controller, Holybro Pix32 v6",Equipment,1,1,cots,,,Holybro,,https://holybro.com/products/pix32-v6?variant=43020083527869,296.00,296.00,,Mounts on the FC PCB; not a separate CAD part.
3410,"Battery, Tattu 4.0 14S 30000 mAh",Equipment,1,1,cots,,,Tattu,Tattu 4.0 14S 30000 mAh,,735.00,735.00,,Smart battery with CAN telemetry.
