Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",0805,3,100nF,
"C4, C6",0805,2,1uf,
"D1, D4, D5, D6, D7, D8, D9",D_SMB,7,SMBJ13CA,C19077568
"D10, D11",D_SMC(DO-214AB),2,ES3D,
D2,D_SMB,1,SMBJ64CA,C41376099
D3,SMC_L6.9-W5.9-LS7.9-BI,1,~,
F1,0154002DR,1,0154002.DR,
F2,0154005DR,1,0154005.DR,
F4,FUSC8664X180N,1,3425L200_60MR,
IC1,QFN65P400X400X90-17N,1,TSYS01,
"J1, J2",1778719,2,1778719,
"J10, J9",CONN_SD-46437-9000_06_MOL,2,464379206,
"J11, J4, J7, J8",AMT0450003DB0000G,4,AMT0450003DB0000G,
J3,1778735,1,1778735,
J5,HDRV2W110P0X254_1X2_508X254X854P,1,61300211121,
"LED1, LED2, LED5, LED6",LEDC2012X85N,4,APT2012LZGCK,
PS1,SPAN02C12,1,SPAN02C-12,
PS2,SOT95P280X130-3N,1,XC6206P332MR-G,
"Q1, Q9",POWERPAK-SO-8_L5.9-W4.9-P1.27-LS6.2-BL,2,SIR570DP-T1-RE3,
"Q3, Q4, Q5, Q6, Q7",IAUT150N10S5N035ATMA1,5,S400N08TL,
"Q8, U3",SOP254P610X218-4N,2,CPC1019N,
"R1, R10, R3, R4",0805,4,100k,
"R12, R13, R24, R27, R28, R29, R30, R31, R38",0805,9,10k,
R14,0805,1,1K5,
"R15, R16",RES_PWR163_BRN,2,PWR163S-25-33R0F,
"R18, R19, R20, R21, R22, R23, R37",0805,7,10R,
R2,0805,1,0R,
R32,0805,1,330,
"R33, R35",0805,2,4K7,
R34,0805,1,1K2,
R36,0805,1,2K2,
R7,0805,1,270k,
R8,0805,1,68k,
R9,0805,1,120R,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.5mm,6,TestPoint,
U2,TSR0648120WI,1,TSR_0.6-48120WI,
