Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5",0805,4,100nF,CC0805KRX7R9BB104
"C10, C12, C9",CAP-TH_BD8.0-P3.50-D0.6-FD,3,470uF,
"C11, C2, C8",CAP-TH_BD10.0-P5.00-D0.6-FD_2,3,100uF,
"C13, C14, C15, C16, C17, C18",C1206,6,1uF,
C19,CAP-SMD_L7.3-W4.3-RD_PA300LV227M0J,1,22uF,
"C6, C7",0603,2,8pF,CC0603JRNPO9BN8R0
"D1, D2",DIONC1608X55N,2,PESD0603-240,PESD0603-240
"D3, D4, D5",D_SMB,3,SMBJ13CA,C19077568
"D6, D7",SMB_L4.6-W3.6-LS5.3-RD,2,SS34,
D8,SMC_L7.1-W6.2-LS8.1-RD,1,ES3D,
"F1, F7",0154002DR,2,0154002.DR,
"F2, F3, F4",0154005DR,3,0154005.DR,
F5,0154001DR,1,0154001.DR,
F8,1812L010DR,1,1812L110_24DR,
IC1,QFN65P400X400X90-17N,1,TSYS01,
J1,SSM-120-XXX-DV,1,RPI_5_WITH_SSQ-120-01-F-D,
"J10, J12, J13, J16, J19, J2, J21, J24, J37, J38, J6",1778719,11,1778719,
J11,M9N-G4-3100,1,M9N-G4-3100,
J14,XT30PW-F_AMASS_XT30PW-F,1,XT30PW-F,
"J15, J18, J20, J22, J35, J48, J5, J52, J54, J7, J9",SM04B-GHS-TB,11,SM04B-GHS-TB_LF__SN_,
J17,CONN-TH_SM03B-GHS-TB-LF-SN,1,SM03B-GHS-TB(LF)(SN),
"J23, J27, J32, J40, J43",1814948,5,1814948,
"J25, J28, J34, J42",XT60PWF,4,XT60PW-F,
J26,1814919,1,1814919,
"J29, J30",1778735,2,1778735,
"J3, J4",AXK6S00547YG,2,AXK6S00547YG,
"J31, J46",1814951,2,1814951,
J33,USB421603A,1,USB4216-03-A,
J36,SM05B-GHS-TB,1,SM05B-GHS-TB_LF__SN_,
"J39, J49, J50, J53, J8",1814935,5,1814935,
J41,SM06B-GHS-TB,1,SM06B-GHS-TB_LF__SN_,
"J44, J45",AMT0450003DB0000G,2,AMT0450003DB0000G,
"J47, J51",GIGABLOX_NANO_SWITCH_REVA_MODULE_LSHM-120-02.5-L-DV-A-S-K-TR,2,GIGABLOX_NANO_SWITCH_REVA_MODULE,
"K1, K2, K3",SOP254P610X218-4N,3,CPC1019N,
"LED1, LED2, LED3, LED4, LED5, LED6",LEDC2012X85N,6,APT2012LVBC_D,
LS1,CMT8530SSMTTR,1,CMT-8530S-SMT-TR,
PS1,REC20K,1,REC20K-4805SZ,
PS2,REC30K,1,REC30K-4812SZ,
"Q1, Q2",POWERPAK-SO-8_L5.9-W4.9-P1.27-LS6.2-BL,2,SIRA99DP-T1-GE3,
Q3,POWERPAK-SO-8_L5.9-W4.9-P1.27-LS6.2-BL,1,SIR570DP-T1-RE3,
"R1, R27, R28",0805,3,1K5,
"R10, R11, R17, R19, R20, R21",0805,6,10k,RC0805FR-0710KL
"R12, R13",0805,2,5K1,
"R14, R18",0805,2,120R,RC0805FR-07120RL
R15,0805,1,47K,
R16,0805,1,0R,RC0805FR-070RL
"R2, R26, R4, R5",0805,4,100k,
"R22, R3, R6",0805,3,100R,
"R23, R24",0805,2,1K2,
"R25, R29, R30",0805,3,4K7,
"R31, R32",0805,2,15K,
R33,0805,1,0R,
"R7, R9",0805,2,10K,
R8,0805,1,100k,RC0805FR-0710KL
"S1, S2",SLW9135352ASMT,2,SLW-913535-2A-SMT,SLW-913535-2A-SMT
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.0x1.0mm,4,TestPoint_Small,
U1,SOIC127P600X175-8N,1,TJA1049T/3J,TJA1049T/3J
"U10, U11, U12, U9",SMD_BD5.6-L5.6-W5.6-D4.1,4,SMTSO25100CTJ,
"U13, U14, U15, U16",SCREW-SMD_BD4.4-D2.8-H4.5,4,SMTWEM245STR,
U2,SOIC127P1030X265-18N,1,MCP2515-I/SO,MCP2515-I/SO
"U3, U6, U7, U8",SMD_BD6.0-D4.2,4,SMTSOM380BTR,
U4,PWRM-TH_YLPTEC_URBXXXXS-6WR3,1,URB4805S-6WR3,
U5,CONN-TH_5P-P2.50_ZX-XH2.54-5PZZ,1,C7429635,
X1,NX3225GB-16M-STD-CRA-2,1,16MHz,NX3225GB-16M-STD-CRA-2
Z1,SOD3716X135N,1,MMSZ5242B-E3-08,
