Designator,Mid X,Mid Y,Rotation,Layer
C1,-5.0,27.5,270.0,top
C10,64.9,4.5,135.0,top
C11,107.4,5.2,315.0,top
C12,100.1,12.3,315.0,top
C13,68.5,-46.2,135.0,bottom
C14,76.5,-38.4,135.0,bottom
C15,105.1,2.6,225.0,bottom
C16,60.009085,-0.427729,45.0,bottom
C17,62.161992,1.768144,45.0,bottom
C18,97.6,9.8,225.0,bottom
C19,-36.5,50.6,90.0,top
C2,70.2,-48.1,45.0,top
C3,-83.6,-34.9,0.0,top
C4,-86.8,-17.0,180.0,top
C5,-74.1,-29.8,0.0,top
C6,-87.7,-22.2,0.0,top
C7,-87.8,-28.1,0.0,top
C8,78.2,-40.20025,45.0,top
C9,57.804323,-2.154246,135.0,top
D1,-68.9,-32.0,90.0,top
D2,-68.6,-38.4,90.0,top
D3,63.592893,55.792893,225.0,top
D4,74.3,29.5,225.0,top
D5,-52.2,52.5,0.0,top
D6,55.4,33.5,225.0,top
D7,44.3,51.1,225.0,top
D8,-67.4,47.5,90.0,top
F1,46.3,45.5,225.0,top
F2,-73.8,47.2,270.0,top
F3,51.1,-6.9,135.0,top
F4,80.9,12.6,135.0,top
F5,85.6,17.2,135.0,top
F7,60.2,31.7,225.0,top
F8,59.3,22.0,45.0,top
IC1,0.0,0.0,0.0,top
J1,-72.51,24.45,0.0,top
J10,-60.4,34.7,0.0,top
J11,0.0,85.5,0.0,top
J12,93.214897,-26.485103,225.0,top
J13,106.614897,-13.185103,225.0,top
J14,96.74803173053455,-43.34803173053452,225.0,top
J15,104.6,-34.3,45.0,top
J16,-38.1,94.6,45.0,top
J17,111.48838834764832,-29.588388347648323,45.0,top
J18,-30.876687,107.676687,225.0,top
J19,-25.0,107.7,45.0,top
J2,-95.9,-37.5,180.0,top
J20,-37.367247,101.215596,225.0,top
J21,46.6,77.0,315.0,top
J22,-43.876687,94.776687,225.0,top
J23,81.4,-52.5,45.0,top
J24,30.8,92.8,315.0,top
J25,69.05770878731954,-69.05770878731957,225.0,top
J26,-78.85,55.0,225.0,top
J27,51.6,82.3,135.0,top
J28,69.05770878731954,69.05770878731956,315.0,top
J29,70.0,9.25,90.0,bottom
J3,-26.25,0.0,270.0,top
J30,-70.0,9.25,270.0,bottom
J31,38.2,100.6,135.0,top
J32,-81.4,-52.5,315.0,top
J33,-100.7185,35.6,270.0,top
J34,-69.05770878731956,-69.05770878731957,135.0,top
J35,-24.212652,114.344707,135.0,bottom
J36,-51.847398,87.102765,135.0,bottom
J37,72.7,-14.55,90.0,bottom
J38,-72.7,-14.55,270.0,bottom
J39,20.8,113.1,135.0,top
J4,26.25,0.0,270.0,top
J40,-52.4,81.5,225.0,top
J41,-23.57109,120.540479,135.0,bottom
J42,-69.05770878731956,69.05770878731956,45.0,top
J43,47.2,-61.3,315.0,top
J44,16.1125,-48.5,90.0,top
J45,-15.8875,-48.5,90.0,top
J46,-46.4,-65.2,45.0,top
J47,14.0,52.5,0.0,top
J48,28.5,42.875,90.0,top
J49,97.678159,36.178159,225.0,bottom
J5,125.2,1.575,270.0,bottom
J50,110.578159,23.278159,135.0,top
J51,-14.0,52.5,0.0,top
J52,28.5,34.225,90.0,top
J53,116.478159,-17.178159,45.0,top
J54,-24.176687,114.276687,225.0,top
J6,-80.2,34.7,0.0,top
J7,125.25,1.575,90.0,top
J8,97.678159,36.178159,135.0,top
J9,-36.2,69.95,0.0,top
K1,59.3,51.4,315.0,top
K2,73.007107,37.192893,315.0,top
K3,-44.8,54.0,90.0,top
LED1,53.0,-15.9,45.0,top
LED2,74.15,4.75,45.0,top
LED3,93.4,13.2,135.0,top
LED4,52.9,36.7,315.0,top
LED5,66.8,22.4,315.0,top
LED6,-53.3,61.5,0.0,top
LS1,-49.8,-48.8,90.0,top
PS1,59.399999878930835,-31.100000327358515,135.0,top
PS2,79.79999987893086,-10.800000327358514,135.0,top
Q1,51.811091,42.411091,135.0,top
Q2,65.711091,28.511091,135.0,top
Q3,-60.1,53.9,90.0,top
R1,55.992893,56.507107,315.0,top
R10,-0.9,27.5,90.0,top
R11,-2.9,27.5,90.0,top
R12,-91.8,34.7,0.0,top
R13,-91.8,39.5,180.0,top
R14,-22.925,81.5,90.0,top
R15,-40.4,56.8,0.0,top
R16,-82.1,-42.4,180.0,top
R17,-77.0,-39.4,180.0,top
R18,-72.8,-39.4,0.0,top
R19,-70.2,-13.7,180.0,top
R2,1.1,27.5,270.0,top
R20,-69.6,-26.0,270.0,top
R21,-82.0,-39.3,270.0,top
R22,-53.009,55.8,0.0,top
R23,91.0,17.9,315.0,top
R24,51.4,-14.2,225.0,top
R25,77.55,8.25,225.0,top
R26,-52.3,49.2,180.0,top
R27,69.5,42.5,315.0,top
R28,-46.1,48.0,90.0,top
R29,51.3,35.1,315.0,top
R3,68.1,51.5,45.0,top
R30,69.492893,19.707107,135.0,top
R31,-57.3,59.1,0.0,top
R32,-53.3,59.1,0.0,top
R33,-0.1,-25.0,0.0,top
R4,11.2,27.3,270.0,top
R5,8.3,27.3,270.0,top
R6,78.607107,25.507107,45.0,top
R7,66.192893,53.392893,45.0,top
R8,13.2,27.3,270.0,top
R9,76.9,27.2,45.0,top
